13.46,1410.752,42.522,-11.056,0
13.51,1412.865,41.97,-11.03,0
13.56,1414.949,41.419,-10.991,0
13.61,1417.007,40.871,-10.941,0
13.66,1419.037,40.324,-10.925,0
13.71,1421.039,39.778,-10.909,0
13.76,1423.014,39.234,-10.865,0
13.81,1424.963,38.691,-10.85,0
13.86,1426.884,38.15,-10.824,0
13.91,1428.777,37.609,-10.804,0
13.96,1430.644,37.07,-10.743,0
14.01,1432.485,36.534,-10.699,0
14.06,1434.298,36,-10.648,0
14.11,1436.085,35.469,-10.608,0
14.16,1437.845,34.939,-10.577,0
14.21,1439.579,34.411,-10.551,0
14.26,1441.286,33.884,-10.515,0
14.31,1442.967,33.359,-10.486,0
14.36,1444.622,32.836,-10.461,0
14.41,1446.251,32.313,-10.434,0
14.46,1447.853,31.792,-10.413,0
14.51,1449.43,31.272,-10.397,0
14.56,1450.98,30.753,-10.36,0
14.61,1452.505,30.236,-10.33,0
14.66,1454.004,29.719,-10.338,0
14.71,1455.477,29.202,-10.354,0
14.76,1456.924,28.685,-10.334,0
14.81,1458.346,28.168,-10.329,0
14.86,1459.741,27.651,-10.338,0
14.91,1461.111,27.135,-10.304,0
14.96,1462.455,26.621,-10.28,0
15.01,1463.773,26.107,-10.274,0
15.06,1465.065,25.594,-10.241,0
15.11,1466.332,25.082,-10.223,0
15.16,1467.574,24.572,-10.211,0
15.21,1468.789,24.061,-10.208,0
15.26,1469.98,23.551,-10.205,0
15.31,1471.145,23.04,-10.209,0
15.36,1472.284,22.531,-10.168,0
15.41,1473.398,22.023,-10.149,0
15.46,1474.486,21.516,-10.131,0
15.51,1475.549,21.01,-10.096,0
15.56,1476.587,20.507,-10.053,0
15.61,1477.6,20.005,-10.017,0
15.66,1478.588,19.505,-9.983,0
15.71,1479.55,19.006,-9.982,0
15.76,1480.488,18.507,-9.971,0
15.81,1481.401,18.008,-9.967,0
15.86,1482.289,17.511,-9.948,0
15.91,1483.152,17.013,-9.935,0
15.96,1483.99,16.517,-9.911,0
16.01,1484.804,16.022,-9.888,0
16.06,1485.593,15.528,-9.866,0
16.11,1486.357,15.035,-9.855,0
16.16,1487.096,14.543,-9.836,0
16.21,1487.811,14.052,-9.819,0
16.26,1488.501,13.561,-9.793,0
16.31,1489.167,13.073,-9.764,0
16.36,1489.809,12.585,-9.737,0
16.41,1490.426,12.098,-9.745,0
16.46,1491.019,11.611,-9.73,0
16.51,1491.587,11.125,-9.709,0
16.56,1492.131,10.641,-9.673,0
16.61,1492.651,10.158,-9.644,0
16.66,1493.147,9.676,-9.617,0
16.71,1493.619,9.196,-9.59,0
16.76,1494.066,8.717,-9.569,0
